#{"t_start": 1693147490.012485, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-39,47,1136.983827
-76,98,1137.426923
-20,101,1137.877963
-53,142,1138.518702
-98,187,1139.366071
-1316.0,201,1140.278734
-87,121,1140.828858
-27,113,1141.333867
-27,51,1141.56202
-19,60,1141.828942
-37,123,1142.392069
-18,22,1142.493171
-22,59,1142.760334
-249,274,1144.032957
-66,248,1145.125144
-672.0,246,1146.208299
-521,562,1148.842756
-392.0,186,1149.699451
-43,65,1149.996558
-22,75,1150.333257
-26,102,1150.787431
-18,176,1151.575455
-203.0,97,1152.01727
-29,150,1152.674896
-35,135,1153.273846
-1296.0,342,1154.837836
-21,105,1155.304087
-20,39,1155.480872
-21,67,1155.773657
-1274.0,324,1157.253182
-46,95,1157.684163
-139,253,1158.829836
-28,42,1159.022307
-22,52,1159.258389
-31,109,1159.742224
-21,79,1160.092858
-1358.0,400,1161.937917
-23,46,1162.141263
-37,47,1162.352836
-22,54,1162.591235
-39,259,1163.726041
-3314.0,2720,1198.07608
-53,97,1198.517809
-18,45,1198.717293
-68,87,1199.107706
-32,105,1199.567728
-46,64,1199.85708
-39,231,1200.873907
-34,138,1201.469435
-33,109,1201.94238
-39,53,1202.175366
-141,163,1202.929181
-172.0,184,1203.730091
-18,69,1204.029021
-24,29,1204.156844
-25,38,1204.323526
-643.0,287,1205.652566
-1677.0,569,1208.320894
-206.0,259,1209.514083
-49,67,1209.821893
-17,100,1210.268889
-20,103,1210.726078
-51,110,1211.225574
-61,94,1211.651811
-25,43,1211.843307
-94.0,189,1212.684642
-44,135,1213.278172
-118,206,1214.213094
-47,259,1215.343591
-1404.0,197,1216.231403
-56.0,199,1217.112683
-34,45,1217.314529
-63,85,1217.699626
-43,151,1218.367378
-27,88,1218.766951
-40,88,1219.159921
-20,57,1219.412237
-20,38,1219.584697
-57,168,1220.330733
-206.0,185,1221.188519
-1335,1474,1228.073961
-25,69,1228.394945
-1341.0,627,1231.366836
-85,94,1231.795655
-561.0,185,1254.37899
-17,128,1254.892152
-30,81,1255.225634
-203.0,261,1256.318082
-24,86,1256.67799
-100,110,1257.159491
-37,97,1257.575683
-36,139,1258.169078
-23,24,1258.274585
-28,194,1259.108662
-51,142,1259.717732
-24,174,1260.458985
-20,154,1261.11415
-41,45,1261.313672
-26,46,1261.514456
-29,130,1262.070255
-65,213,1263.00052
-30,96,1263.420107
-1744.0,526,1265.844879
-1554.0,486,1268.156195
-23,81,1268.517298
-383.0,151,1269.214434
-180.0,139,1269.847884
-22,30,1269.985197
-40,62,1270.270665
-18,66,1270.571484
-91,175,1271.355756
-1426.0,518,1273.818827
-415,421,1275.835567
-46,52,1276.081294
-31,43,1276.278924
-45,125,1276.844364
-17,30,1276.979161
-110.0,221,1277.981599
-31,234,1279.010151
-52,96,1279.4368
-20,34,1279.588092
-595.0,441,1281.654593
-17,30,1281.789548
-47,147,1282.440269
-42,48,1282.657617
-57,78,1283.00563
-18.0,48,1283.218401
-32,137,1283.832618
-22,92,1284.2386
-25,36,1284.400118
-156.0,159,1285.124194
-25,130,1285.71147
-44,54,1285.961265
-26,34,1286.114529
-18,101,1286.55556
-22,65,1286.842073
-26,29,1286.972252
-130,145,1287.627188
-25,59,1287.897872
-31,37,1288.068799
-72,136,1288.680805
-533.0,327,1290.227221
-42,101,1290.690846
-50,103,1291.156571
-151.0,105,1291.620625
-23,54,1291.860584
-72,112,1292.366604
-39,41,1292.55227
-157,229,1293.591846
-81.0,141,1294.206836
-20,69,1294.508339
-38,214,1295.473926
-55,97,1295.908485
-325.0,144,1296.58566
-28,57,1296.843319
-27,79,1297.199626
-68,164,1297.928971
-18,96,1298.346108
-123,223,1321.077548
-24,98,1321.488099
-153,182,1322.27139
-64,84,1322.633029
-176,319,1323.994886
-47,93,1324.40146
-1334.0,240,1325.487128
-51,61,1325.760458
-59,85,1326.137479
-147,265,1327.31919
-21,75,1327.644722
-21,35,1327.801859
-29,97,1328.222777
-22,23,1328.327129
-21,100,1328.764825
-24,132,1329.341867
-229.0,321,1330.79361
-20,135,1331.378214
-315,441,1333.373338
-28,36,1333.535538
-1212,1264,1339.447896
-116.0,112,1339.970452
-30,58,1340.232057
-47,67,1340.537666
-254,287,1341.866318
-23,372,1343.494035
-697.0,245,1344.593047
-135.0,213,1345.556679
-24,35,1345.712941
